Frame number	981
First frame	1
Point frequency	200
Analog frequency	1200

Time	L.Trunk			R.Trunk			DistalTrunk			R.UpperArm			R.Elbow			R.Wrist			L.UpperArm			L.Elbow			L.Wrist			R.Crest			R.ASIS			Sacrum			OFFSET			L.ASIS			L.Crest			R.Hip			R.Thigh			R.Knee			R.TibTubercle			R.MidShank			R.DistalShank			R.Heel			R.DistalHeel			R.PosteriorFoot			R.LateralToe			R.Toe			R.MedialToe			L.Hip			L.Thigh			L.Knee			L.TibTubercle			L.MidShank			L.DistalShank			L.Heel			L.DistalHeel			L.PosteriorFoot			L.LateralToe			L.Toe			L.MedialToe		
s	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1.17667	-15.5029	0.671387	-30.2734	8.66699	-19.043	5.85938	14.7705	0.12207	-32.7148	13.4888	15.564	-2.44141
1.1775	-15.4419	0.610352	-30.6396	8.54492	-18.9819	5.37109	14.5874	-0.12207	-32.5317	13.1836	15.9912	-2.38037
1.17833	-15.4419	0.610352	-30.3345	8.72803	-18.9819	5.5542	14.7705	0.0610352	-32.8979	13.3057	15.8691	-2.2583
1.17917	-15.625	0.732422	-30.5176	8.8501	-18.8599	5.5542	14.6484	-0.366211	-32.6538	13.3667	15.686	-2.62451
1.18	-15.7471	0.549316	-30.1514	8.66699	-18.8599	5.43213	14.3433	-0.0610352	-32.2876	13.0615	15.686	-2.38037
1.18083	-15.564	0.549316	-30.5176	9.0332	-18.7378	5.92041	14.5264	0.427246	-32.5928	13.6108	15.4419	-2.2583
1.18167	-15.5029	0.915527	-30.3955	8.60596	-18.7988	5.5542	14.9536	0.12207	-32.7759	13.3667	15.8081	-2.44141
1.1825	-15.8081	0.549316	-30.2734	8.54492	-18.8599	5.43213	14.8926	0.0610352	-32.7759	13.7939	15.686	-2.44141
1.18333	-15.7471	0.549316	-30.3955	8.54492	-19.104	5.49316	14.5874	-0.427246	-32.5317	13.3667	15.5029	-2.62451
1.18417	-15.7471	0.488281	-30.3955	8.72803	-18.8599	5.79834	14.6484	-0	-32.5928	13.3667	15.625	-2.68555
1.185	-15.4419	0.976562	-30.4565	8.48389	-18.8599	5.5542	14.8315	-0.183105	-32.8979	13.3057	15.625	-2.13623
1.18583	-15.7471	0.549316	-30.0903	8.78906	-18.7378	5.37109	14.6484	0.12207	-32.4707	13.2446	15.8081	-2.0752
1.18667	-15.625	0.549316	-30.6396	8.66699	-19.043	5.37109	14.5874	-0.0610352	-32.959	13.4888	15.7471	-2.0752
1.1875	-15.7471	0.549316	-30.3345	8.78906	-18.4937	5.5542	14.7705	0.0610352	-32.8369	13.6108	15.564	-2.50244
1.18833	-15.625	0.854492	-30.3955	8.72803	-19.104	5.43213	14.8926	0.0610352	-32.959	13.4888	15.5029	-2.50244
1.18917	-15.7471	0.427246	-30.3345	8.78906	-18.8599	5.61523	14.6484	0.0610352	-32.4097	13.3057	15.564	-2.31934
1.19	-15.564	0.915527	-30.4565	8.60596	-18.8599	5.79834	14.5264	0.0610352	-32.5317	13.6108	15.564	-2.68555
1.19083	-15.625	0.610352	-30.2124	8.60596	-18.7378	5.5542	14.7095	-0.244141	-32.4707	13.7329	15.4419	-2.50244
1.19167	-15.7471	0.549316	-30.3955	8.48389	-18.8599	5.43213	14.6484	0.0610352	-32.7759	13.6108	15.625	-2.2583
1.1925	-15.3809	0.183105	-30.3955	8.54492	-18.7988	5.49316	14.7705	0.183105	-32.6538	13.7329	15.9302	-2.50244
1.19333	-15.7471	0.244141	-30.3955	8.78906	-18.8599	5.85938	14.8315	-0.0610352	-32.5928	13.4888	15.8691	-1.95312
1.19417	-15.2588	0.366211	-30.3955	8.8501	-19.104	5.5542	14.6484	-0	-32.5928	13.4888	15.8081	-2.44141
1.195	-15.4419	0.305176	-30.4565	8.91113	-18.7988	5.67627	14.9536	0.305176	-32.8979	13.1226	15.686	-2.2583
1.19583	-15.7471	0.488281	-30.4565	8.72803	-18.9209	5.67627	14.5264	0.0610352	-32.2876	13.7329	15.625	-2.44141
1.19667	-15.8081	0.549316	-30.3345	8.54492	-18.6157	5.67627	14.5874	0.12207	-32.8369	13.5498	15.564	-2.62451
1.1975	-15.3198	0.0610352	-30.2734	8.78906	-18.9819	5.5542	14.5264	0.0610352	-32.8369	13.3057	15.564	-2.19727
1.19833	-15.8691	0.244141	-30.4565	8.60596	-19.043	5.49316	14.8315	-0.244141	-32.959	13.1836	15.8081	-2.62451
1.19917	-15.5029	0.549316	-30.3955	8.54492	-18.6157	5.85938	14.8315	-0.0610352	-33.0811	13.4277	15.564	-2.38037
1.2	-15.625	0.732422	-30.5176	8.66699	-18.7988	5.67627	14.7095	0.183105	-32.5928	13.3057	15.625	-2.38037
1.20083	-15.5029	0.427246	-30.3955	8.72803	-18.9819	5.92041	14.5874	-0	-32.8369	13.3057	15.686	-2.2583
1.20167	-15.3809	0.488281	-30.3955	8.54492	-18.8599	5.67627	14.8315	-0	-32.8979	13.4277	15.686	-2.38037
1.2025	-15.2588	0.488281	-30.5786	8.60596	-19.104	5.49316	14.5874	0.0610352	-32.7148	13.4888	15.564	-2.68555
1.20333	-15.9912	0.549316	-30.2124	9.0332	-18.8599	5.67627	14.5264	-0.12207	-33.02	13.3667	15.8691	-2.2583
1.20417	-15.8691	0.366211	-30.3345	8.54492	-18.8599	5.67627	14.8315	0.183105	-32.6538	13.6108	15.625	-2.44141
1.205	-15.7471	0.244141	-30.2124	8.54492	-18.9209	5.98145	14.8315	-0.0610352	-32.7759	13.6108	15.3809	-2.38037
1.20583	-15.625	0.244141	-30.3955	8.54492	-18.7988	5.79834	14.7705	0.0610352	-32.8369	13.7329	15.4419	-2.38037
1.20667	-15.4419	0.488281	-30.1514	8.48389	-18.9209	5.5542	14.5874	0.12207	-32.7759	13.3667	15.625	-2.62451
1.2075	-15.3198	0.549316	-30.7007	8.72803	-18.8599	5.85938	14.6484	-0.183105	-32.6538	13.4277	15.564	-2.31934
1.20833	-15.5029	0.366211	-30.2734	8.8501	-18.4937	5.49316	14.7095	0.183105	-32.7759	13.3667	15.564	-2.31934
1.20917	-15.625	0.366211	-30.1514	8.48389	-18.7378	5.79834	14.8926	0.0610352	-32.7759	13.4277	15.686	-2.2583
1.21	-15.4419	0.305176	-30.3345	8.42285	-18.8599	5.92041	15.0146	0.0610352	-32.5317	13.6719	15.3198	-2.31934
1.21083	-15.4419	0.549316	-30.4565	8.66699	-18.9209	5.5542	14.7095	0.366211	-32.8979	13.4277	15.564	-2.44141
1.21167	-15.3809	0.366211	-30.5786	8.30078	-18.8599	5.79834	14.7705	0.0610352	-32.8979	13.7329	15.7471	-2.19727
1.2125	-15.3809	0.244141	-30.3955	8.72803	-18.9819	5.79834	14.7705	-0	-32.7148	13.7939	15.5029	-2.13623
1.21333	-15.1978	0.427246	-30.2734	8.36182	-19.165	5.79834	15.0146	0.0610352	-32.5317	13.6108	15.7471	-2.13623
1.21417	-15.3198	0.549316	-30.5786	8.54492	-19.043	5.61523	14.8315	0.183105	-32.8979	13.6719	15.4419	-2.31934
1.215	-15.625	0.488281	-30.3345	8.48389	-18.7378	5.5542	15.0146	-0.366211	-32.5928	12.8784	15.5029	-2.2583
1.21583	-15.564	0.854492	-30.3345	8.48389	-18.7988	5.49316	15.0146	0.0610352	-32.5317	13.3057	15.4419	-2.68555
1.21667	-15.5029	0.488281	-30.3345	8.54492	-18.7378	5.43213	14.6484	0.183105	-33.2031	13.1836	15.5029	-2.2583
1.2175	-15.625	0.183105	-30.2124	8.42285	-18.6157	5.79834	14.7705	-0.0610352	-33.02	13.7329	15.564	-2.74658
1.21833	-15.0146	0.244141	-30.3955	8.72803	-19.043	5.79834	14.8926	-0	-33.02	13.4888	15.564	-2.44141
1.21917	-15.625	0.610352	-30.5786	8.78906	-18.8599	5.5542	14.7095	0.0610352	-33.0811	13.5498	15.686	-2.31934
1.22	-15.1978	0.0610352	-30.2124	8.66699	-18.7988	5.5542	14.7095	0.0610352	-32.5928	13.6719	15.7471	-2.74658
1.22083	-15.8081	0.549316	-30.3955	8.72803	-19.043	5.49316	14.7705	-0.12207	-32.7759	13.4888	15.8691	-2.44141
1.22167	-15.5029	0.305176	-30.2734	8.60596	-18.9209	5.5542	14.9536	0.0610352	-32.8979	13.2446	15.564	-2.19727
1.2225	-15.4419	0.244141	-30.4565	8.48389	-18.7378	5.92041	15.0757	-0	-32.8369	13.7939	15.625	-2.38037
1.22333	-15.5029	0.244141	-30.2734	8.17871	-18.7988	5.5542	14.7095	0.0610352	-32.7759	13.3667	15.7471	-2.38037
1.22417	-15.4419	0.244141	-30.2124	8.60596	-18.9819	5.5542	14.8315	0.0610352	-32.8369	13.5498	15.625	-2.2583
1.225	-15.4419	0.244141	-30.4565	8.42285	-18.9209	5.67627	14.7095	-0.0610352	-33.02	13.4277	15.8691	-2.38037
1.22583	-15.3809	0.488281	-30.6396	8.30078	-18.6157	5.61523	14.8315	0.0610352	-32.8979	13.4888	15.3198	-2.50244
1.22667	-15.3809	0.427246	-30.2734	8.48389	-19.104	5.67627	14.7705	0.0610352	-33.0811	13.3057	15.686	-2.50244
1.2275	-15.625	0.732422	-29.9072	8.42285	-18.7378	5.5542	14.8315	0.0610352	-32.959	13.6108	15.3809	-2.13623
1.22833	-15.1978	0.427246	-30.5786	8.66699	-19.2261	5.67627	14.8926	0.0610352	-33.0811	13.7329	15.564	-2.2583
1.22917	-15.1978	0.244141	-30.3345	8.72803	-18.7378	5.85938	14.6484	0.0610352	-32.8979	13.3667	15.4419	-2.62451
1.23	-15.0146	0.305176	-30.4565	8.60596	-19.165	5.85938	15.0146	0.0610352	-32.7759	13.2446	15.686	-2.38037
1.23083	-15.1978	0.305176	-30.3955	8.72803	-18.9819	5.18799	14.8315	0.0610352	-32.8369	13.6108	15.4419	-2.2583
1.23167	-15.564	0.427246	-30.5176	8.72803	-18.9819	5.85938	14.8926	-0.0610352	-33.2642	13.3667	15.686	-2.38037
1.2325	-15.1978	0.305176	-30.4565	8.42285	-18.5547	5.43213	14.9536	-0	-32.8979	13.3057	15.625	-2.50244
1.23333	-15.1978	0.610352	-30.3955	8.48389	-18.9209	5.98145	15.0146	-0.0610352	-33.02	13.5498	15.3809	-2.74658
1.23417	-15.625	0.610352	-30.2124	8.72803	-18.7988	5.67627	14.8926	0.0610352	-32.8979	13.5498	15.625	-2.13623
1.235	-15.0757	0.305176	-30.4565	8.72803	-18.7988	5.98145	15.1367	-0.12207	-32.8979	13.2446	15.5029	-2.86865
1.23583	-15.3809	0.427246	-30.0903	8.42285	-18.9819	5.92041	15.0146	0.0610352	-33.1421	13.4277	15.4419	-2.38037
1.23667	-15.4419	0.366211	-30.5176	8.72803	-18.9209	5.85938	14.9536	0.0610352	-32.959	13.2446	15.564	-2.50244
1.2375	-15.1367	0.427246	-30.2124	8.42285	-18.9209	5.61523	14.7705	0.0610352	-32.5317	13.3057	15.564	-2.31934
1.23833	-15.4419	0.488281	-30.2124	8.60596	-18.7988	5.67627	14.8926	0.12207	-33.0811	13.3667	15.5029	-2.68555
1.23917	-15.564	0.366211	-30.0903	8.72803	-18.7988	5.79834	14.9536	-0.244141	-33.0811	13.6108	15.3198	-2.50244
1.24	-15.5029	0.427246	-30.3955	8.48389	-18.8599	5.79834	15.1978	0.0610352	-33.1421	13.3667	15.8081	-2.68555
1.24083	-15.3198	0.305176	-30.2734	8.54492	-18.7988	5.43213	14.9536	-0.0610352	-32.8369	13.3667	15.564	-2.38037
1.24167	-15.564	0.427246	-30.1514	8.54492	-18.6157	5.43213	14.9536	-0.183105	-33.0811	13.3667	15.625	-2.38037
1.2425	-15.2588	0.366211	-30.2124	8.54492	-18.7988	5.37109	14.8315	0.0610352	-32.959	13.4277	15.564	-2.13623
1.24333	-15.8081	0.305176	-30.3345	9.0332	-18.7378	5.67627	15.3198	0.0610352	-33.0811	13.1836	15.564	-2.01416
1.24417	-15.5029	0.427246	-30.3345	8.36182	-19.043	5.67627	14.6484	-0.183105	-33.02	13.3667	15.5029	-2.62451
1.245	-15.4419	0.671387	-30.2124	8.48389	-18.9209	5.85938	14.7705	-0.12207	-33.02	13.3057	15.686	-2.68555
1.24583	-15.3809	0.427246	-30.2124	8.78906	-19.104	5.49316	15.0146	0.0610352	-33.0811	13.4277	15.564	-2.50244
1.24667	-15.564	0.488281	-30.3955	8.48389	-19.043	5.67627	15.0146	-0.183105	-33.0811	13.3057	15.5029	-2.38037
1.2475	-15.625	0.671387	-30.2734	8.66699	-18.6157	5.61523	14.7095	0.0610352	-33.02	13.5498	15.564	-2.44141
1.24833	-15.1978	0.488281	-30.2734	8.48389	-18.9819	5.67627	14.8315	-0.0610352	-33.2031	13.7329	15.564	-2.80762
1.24917	-15.4419	0.366211	-30.3345	8.72803	-18.7378	5.5542	14.7705	-0.244141	-33.0811	13.3057	15.5029	-2.38037
1.25	-15.3809	0.427246	-30.0903	8.60596	-18.9209	5.67627	14.5874	-0.244141	-33.0811	13.3667	15.625	-2.31934
1.25083	-15.0757	0.12207	-30.4565	8.54492	-18.7378	5.85938	14.8926	0.0610352	-33.2031	13.3667	15.686	-2.86865
1.25167	-15.1367	0.488281	-29.8462	8.72803	-18.7988	5.67627	15.0146	-0.0610352	-33.3862	13.4277	15.686	-2.44141
1.2525	-15.0757	0.488281	-30.3345	8.54492	-18.7988	5.43213	15.0146	-0.366211	-32.8979	13.3057	15.564	-2.50244
1.25333	-15.3198	0.732422	-30.5176	8.48389	-19.104	5.92041	15.0757	-0.12207	-33.1421	13.2446	15.686	-2.50244
1.25417	-15.1367	0.244141	-30.5176	8.66699	-18.9819	5.92041	14.8926	-0	-33.1421	13.3667	15.564	-2.80762
1.255	-15.1367	0.549316	-30.2734	8.72803	-18.7988	5.79834	15.0757	-0.244141	-33.1421	13.5498	15.5029	-2.13623
1.25583	-15.3198	0.610352	-30.1514	8.66699	-19.104	5.79834	14.8926	-0	-33.02	13.4888	15.625	-2.68555
1.25667	-15.564	0.610352	-30.2734	8.48389	-18.8599	5.49316	14.8315	0.12207	-33.0811	13.3667	15.686	-2.38037
1.2575	-15.0757	0.610352	-30.3955	8.48389	-18.7988	5.67627	15.1367	0.305176	-33.1421	13.3667	15.686	-2.62451
1.25833	-15.3809	0.671387	-30.2734	8.23975	-19.043	5.49316	15.0146	-0.0610352	-32.7148	13.4277	15.5029	-2.68555
1.25917	-15.0146	0.305176	-30.4565	8.54492	-19.043	5.43213	14.8926	0.0610352	-33.2642	13.1226	15.686	-2.19727
1.26	-15.5029	0.915527	-30.4565	8.8501	-18.9819	5.79834	14.5264	-0.488281	-33.02	13.1836	15.8081	-2.80762
1.26083	-15.0757	0.305176	-29.9072	8.72803	-18.7988	5.67627	14.9536	-0.12207	-33.2642	13.1226	15.686	-2.19727
1.26167	-15.3198	0.549316	-30.5176	8.54492	-18.7988	5.85938	14.9536	-0	-33.3862	13.3667	15.625	-2.44141
1.2625	-15.564	0.549316	-30.4565	8.54492	-19.2871	5.67627	14.6484	-0	-33.1421	13.3057	15.686	-2.31934
1.26333	-14.8926	0.366211	-30.6396	8.72803	-18.7378	5.79834	15.0146	0.0610352	-33.1421	13.2446	15.7471	-2.19727
1.26417	-15.2588	0.366211	-30.3345	8.36182	-18.7988	5.5542	15.1978	-0.0610352	-33.2642	13.3057	15.625	-2.31934
1.265	-15.1978	0.427246	-30.3955	8.48389	-19.043	5.61523	15.0146	0.0610352	-33.3862	13.3057	15.8691	-2.19727
1.26583	-15.1367	0.305176	-30.3955	8.48389	-18.6157	5.43213	14.8926	-0	-32.8979	13.3667	15.686	-2.38037
1.26667	-15.3809	0.549316	-30.3955	8.54492	-18.8599	5.43213	15.0757	0.0610352	-33.2031	13.1226	15.5029	-2.62451
1.2675	-15.1367	0.732422	-30.5176	8.66699	-18.8599	5.92041	14.6484	0.305176	-33.1421	13.4277	15.8081	-2.50244
1.26833	-15.0757	0.549316	-30.1514	8.54492	-19.104	5.98145	14.9536	0.12207	-32.8979	13.5498	15.564	-2.38037
1.26917	-15.1978	0.549316	-30.3955	8.54492	-18.7988	5.85938	15.1367	-0.12207	-32.8979	13.4277	15.3809	-2.31934
1.27	-15.2588	0.854492	-30.3955	8.54492	-18.7378	5.85938	15.3198	0.12207	-33.02	13.3667	15.564	-2.38037
1.27083	-15.3809	0.488281	-30.4565	8.60596	-18.9209	5.92041	15.0757	-0.366211	-33.1421	13.3057	15.564	-2.44141
1.27167	-15.2588	0.488281	-30.3345	8.42285	-18.8599	5.67627	14.8926	0.0610352	-33.2031	13.1226	15.8081	-2.0752
1.2725	-15.4419	0.549316	-30.5176	8.42285	-18.7988	5.5542	14.8926	-0.12207	-33.1421	13.5498	15.4419	-2.38037
1.27333	-15.564	0.427246	-30.3345	8.60596	-18.7378	5.85938	15.1978	-0.366211	-33.1421	13.3667	15.5029	-2.68555
1.27417	-15.1978	0.488281	-30.3345	8.66699	-18.9819	5.67627	14.8315	-0.0610352	-33.2642	13.3667	15.7471	-2.62451
1.275	-15.5029	0.427246	-30.3955	8.54492	-18.7988	5.49316	14.8926	0.366211	-33.3862	13.3667	15.5029	-2.38037
1.27583	-15.1367	0.366211	-30.3345	8.78906	-19.043	6.04248	15.0757	-0.183105	-33.2642	13.3057	15.7471	-2.44141
1.27667	-15.3809	0.427246	-30.4565	8.42285	-19.165	5.92041	15.1367	-0.0610352	-33.1421	13.3667	15.564	-2.80762
1.2775	-15.3198	0.549316	-30.1514	8.8501	-18.9819	5.79834	14.9536	-0.12207	-33.0811	13.3667	15.8691	-2.44141
1.27833	-15.0757	0.610352	-30.1514	8.78906	-18.7378	5.49316	14.6484	0.12207	-33.2642	13.1836	15.4419	-2.31934
1.27917	-15.3809	0.671387	-30.5176	8.48389	-18.8599	5.67627	14.9536	-0.12207	-33.0811	13.3057	15.5029	-2.44141
1.28	-15.1367	0.427246	-30.0293	8.72803	-18.9819	5.61523	14.9536	0.12207	-33.1421	13.4277	15.564	-2.38037
1.28083	-15.3809	0.12207	-30.5176	8.42285	-18.9209	5.85938	15.1367	0.183105	-33.2031	13.0615	15.4419	-2.2583
1.28167	-15.3809	0.732422	-30.3345	8.54492	-18.9209	5.85938	15.1367	-0	-33.0811	13.3057	15.5029	-2.44141
1.2825	-15.4419	0.488281	-30.3955	8.60596	-19.2261	5.79834	15.3809	-0	-33.3862	13.1226	15.7471	-2.38037
1.28333	-15.3809	0.671387	-30.3345	8.42285	-19.043	5.67627	14.8926	0.12207	-32.8369	12.8784	15.8081	-2.50244
1.28417	-15.3198	0.610352	-30.3345	8.60596	-18.7988	5.85938	14.8926	0.12207	-33.0811	13.3667	15.564	-2.68555
1.285	-15.2588	0.366211	-30.2734	8.30078	-18.9819	5.85938	14.7705	-0	-32.8369	13.7939	15.5029	-2.38037
1.28583	-15.3809	0.488281	-30.2734	8.72803	-18.7988	5.49316	15.1367	0.0610352	-32.7759	13.3667	15.3809	-2.74658
1.28667	-15.3198	0.488281	-30.5176	8.30078	-19.043	5.85938	14.7705	0.12207	-33.0811	13.4888	15.8081	-2.2583
1.2875	-15.4419	0.427246	-30.5176	8.48389	-18.7988	5.43213	14.8926	-0.0610352	-32.7759	13.4277	15.686	-2.80762
1.28833	-15.3809	0.366211	-30.3345	8.54492	-18.7988	5.49316	15.0146	0.12207	-32.8369	13.3057	15.564	-2.13623
1.28917	-15.3198	0.610352	-30.2124	8.54492	-19.104	5.37109	15.0146	0.12207	-33.1421	13.3667	15.625	-2.2583
1.29	-15.2588	0.488281	-30.0293	8.36182	-18.7378	5.85938	14.9536	-0	-32.8369	13.0615	15.686	-2.68555
1.29083	-15.3198	0.427246	-30.2734	8.48389	-18.9209	5.67627	15.0146	0.12207	-33.02	13.3667	15.625	-2.86865
1.29167	-15.564	0.671387	-30.3345	8.42285	-18.9209	5.67627	14.9536	0.305176	-33.1421	13.1836	15.564	-2.31934
1.2925	-15.3198	0.183105	-30.4565	8.66699	-18.9819	5.49316	14.9536	-0.244141	-32.959	13.3667	15.4419	-2.31934
1.29333	-15.3809	0.305176	-30.3955	8.42285	-19.043	5.61523	14.8926	0.0610352	-33.4473	13.3667	15.686	-2.68555
1.29417	-15.3198	0.305176	-30.3955	8.72803	-18.8599	5.61523	15.0757	0.0610352	-33.0811	13.3057	15.3809	-2.31934
1.295	-15.3198	0.305176	-30.3955	8.48389	-18.9819	5.61523	14.8315	0.0610352	-32.959	13.1836	15.4419	-2.44141
1.29583	-15.3809	0.427246	-30.0903	8.48389	-19.104	5.43213	14.7095	-0.427246	-32.959	13.0615	15.4419	-2.44141
1.29667	-15.4419	0.488281	-30.3345	8.42285	-18.7988	5.85938	15.0757	-0.366211	-32.8979	13.3057	15.3809	-2.2583
1.2975	-15.8081	0.915527	-30.5176	8.30078	-18.7988	5.31006	14.7705	-0.366211	-33.02	13.0615	15.686	-2.80762
1.29833	-15.2588	0.305176	-30.3345	8.54492	-18.4937	5.5542	15.0757	-0.366211	-33.02	13.2446	15.686	-2.31934
1.29917	-15.3809	0.610352	-30.3345	8.60596	-18.7988	5.5542	14.8315	-0.244141	-32.8979	13.3057	15.3198	-2.74658
1.3	-15.3809	0.244141	-30.2124	8.66699	-18.6157	5.61523	14.7705	0.244141	-33.2031	12.9395	15.5029	-2.68555
1.30083	-15.3198	0.488281	-30.5786	8.11768	-18.4326	5.49316	15.0757	-0.12207	-33.2031	12.8174	15.3198	-2.44141
1.30167	-15.3198	0.549316	-30.3345	8.48389	-18.9209	5.61523	15.0146	-0.244141	-33.1421	12.8784	15.564	-2.31934
1.3025	-15.5029	0.427246	-30.0903	8.42285	-19.043	5.37109	14.8926	-0.366211	-33.2031	13.3057	15.8081	-2.19727
1.30333	-15.3198	0.366211	-30.3955	8.23975	-18.7988	5.49316	15.0146	-0.488281	-32.959	13.5498	15.564	-2.62451
1.30417	-15.3809	0.427246	-30.1514	8.54492	-18.8599	5.61523	14.6484	-0.488281	-32.959	13.1226	15.5029	-2.44141
1.305	-15.2588	0.244141	-30.2124	8.60596	-18.9819	5.85938	14.7095	-0.0610352	-32.6538	13.3057	15.625	-2.44141
1.30583	-15.1978	0.366211	-30.3955	8.30078	-18.4326	5.92041	15.0757	-0.488281	-32.8979	12.9395	15.625	-2.38037
1.30667	-15.2588	0.305176	-30.3955	8.42285	-18.5547	5.67627	14.9536	0.0610352	-33.02	13.1226	15.5029	-2.2583
1.3075	-15.3809	0.305176	-30.4565	8.60596	-18.9819	5.67627	15.0757	-0.183105	-32.7148	13.3057	15.564	-2.62451
1.30833	-15.3198	0.0610352	-30.0293	8.60596	-18.7988	5.79834	15.1978	-0.12207	-32.8979	13.0615	15.564	-2.31934
1.30917	-15.4419	0.305176	-30.0293	8.36182	-18.7988	5.61523	15.0146	-0.12207	-33.02	13.1836	15.686	-2.44141
1.31	-15.3198	0.12207	-30.1514	8.66699	-18.6157	5.67627	14.8315	-0.244141	-33.0811	13.0615	15.1978	-2.74658
1.31083	-15.1367	0.0610352	-30.2734	8.42285	-18.7988	5.98145	15.1978	-0.183105	-32.8979	13.3057	15.3809	-2.74658
1.31167	-15.3809	0.488281	-30.0293	8.30078	-18.7378	5.85938	15.3198	-0.366211	-33.1421	13.0615	15.625	-2.44141
1.3125	-15.2588	0.305176	-30.2124	8.48389	-18.7378	6.16455	14.7095	0.0610352	-33.4473	12.8174	15.3809	-2.74658
1.31333	-15.4419	0.0610352	-30.0903	8.66699	-18.7378	5.61523	15.0146	-0.244141	-33.02	12.7563	15.4419	-2.31934
1.31417	-15.1978	0.366211	-30.2124	8.60596	-18.4937	5.85938	14.9536	-0.244141	-33.1421	12.8784	15.564	-2.44141
1.315	-15.2588	0.0610352	-30.3955	8.72803	-18.8599	5.67627	15.1978	-0.183105	-32.8369	13.0615	15.625	-2.44141
1.31583	-15.2588	0.549316	-30.0903	8.30078	-18.5547	5.61523	15.1978	-0.366211	-32.8979	12.8174	15.3809	-2.13623
1.31667	-15.3198	0.183105	-30.1514	8.42285	-18.8599	5.67627	15.4419	-0.244141	-33.2031	13.0615	15.564	-2.38037
1.3175	-14.9536	0.12207	-30.0293	8.17871	-18.7988	5.79834	15.0146	-0.244141	-32.8979	13.1226	15.3809	-2.68555
1.31833	-15.3809	0.183105	-30.2734	8.54492	-19.043	5.79834	15.0757	-0.183105	-33.0811	12.9395	15.8081	-2.2583
1.31917	-15.3198	0.671387	-30.1514	8.60596	-18.5547	5.98145	15.0757	-0.549316	-32.8979	13.1226	15.3809	-2.62451
1.32	-15.0146	0.244141	-30.2734	8.54492	-18.7988	5.61523	15.1367	-0.183105	-33.1421	13.3057	15.4419	-2.0752
1.32083	-15.1367	0.0610352	-30.0903	8.42285	-18.7378	5.49316	15.4419	-0.0610352	-32.8979	13.3667	15.3198	-2.62451
1.32167	-15.3809	0.305176	-30.0903	8.11768	-18.6157	5.43213	15.3198	-0.244141	-32.959	12.8174	15.1367	-2.44141
1.3225	-15.3198	0.671387	-30.0293	8.54492	-18.7988	5.43213	14.8315	-0.12207	-33.0811	12.8174	15.4419	-2.86865
1.32333	-15.0146	0.610352	-30.2124	8.60596	-18.7378	5.98145	15.1978	-0	-33.2031	13.0615	15.0146	-2.62451
1.32417	-15.2588	0.427246	-30.2124	8.23975	-18.5547	5.92041	15.0146	-0.244141	-33.2031	12.8174	15.625	-2.0752
1.325	-15.564	0.549316	-30.3345	8.05664	-18.6157	5.43213	14.8926	-0	-33.0811	13.1226	15.3809	-2.19727
1.32583	-15.0146	0.244141	-30.1514	8.23975	-18.5547	5.67627	15.0757	-0.366211	-33.2642	13.4888	15.2588	-2.38037
1.32667	-15.0146	0.488281	-30.0903	8.36182	-18.6157	5.79834	15.0146	-0.12207	-33.0811	13.0615	15.0146	-2.86865
1.3275	-15.1978	-0	-30.0293	8.11768	-18.8599	6.04248	14.9536	-0.488281	-33.4473	12.8174	15.3198	-2.2583
1.32833	-15.3198	0.488281	-30.2734	8.30078	-18.8599	5.5542	15.0757	-0.12207	-32.959	12.6953	15.5029	-2.74658
1.32917	-15.0146	0.488281	-30.0293	8.30078	-18.6157	5.67627	15.0757	-0.183105	-33.0811	12.8784	15.3809	-2.38037
1.33	-15.2588	0.671387	-30.2734	8.8501	-18.7988	5.67627	15.0757	-0.244141	-33.02	12.7563	15.564	-2.80762
1.33083	-14.7705	0.183105	-29.8462	8.66699	-18.6157	5.85938	14.9536	-0.366211	-33.1421	13.0615	15.8691	-2.2583
1.33167	-15.2588	0.427246	-29.9072	8.36182	-18.5547	5.79834	14.9536	-0.12207	-32.7759	12.9395	15.5029	-2.13623
